pollutant,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1978,pw_1979,pw_1980,pw_1981,pw_1982,pw_1983,pw_1984,pw_1985,pw_1986,pw_1987,pw_1988,pw_1989,pw_1990
1-Hr Ozone (1979),MAINE,ME,23,027,Waldo County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MAINE,ME,23,029,Washington County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),MAINE,ME,23,031,York County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MARYLAND,MD,24,001,Allegany County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),MARYLAND,MD,24,003,Anne Arundel County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MARYLAND,MD,24,005,Baltimore County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MARYLAND,MD,24,009,Calvert County,,,,,,,,,,,,,W
1-Hr Ozone (1979),MARYLAND,MD,24,013,Carroll County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MARYLAND,MD,24,015,Cecil County,,,,,,,,,,,,,W
1-Hr Ozone (1979),MARYLAND,MD,24,017,Charles County,,,,,,,,,,,,,W
1-Hr Ozone (1979),MARYLAND,MD,24,021,Frederick County,,,,,,,,,,,,,W
1-Hr Ozone (1979),MARYLAND,MD,24,023,Garrett County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),MARYLAND,MD,24,025,Harford County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MARYLAND,MD,24,027,Howard County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MARYLAND,MD,24,029,Kent County,,,,,,,,,,,,,
1-Hr Ozone (1979),MARYLAND,MD,24,031,Montgomery County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MARYLAND,MD,24,033,Prince George's County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MARYLAND,MD,24,035,Queen Annes County,,,,,,,,,,,,,
1-Hr Ozone (1979),MARYLAND,MD,24,043,Washington County,W,W,W,W,,,,,,,,,
1-Hr Ozone (1979),MARYLAND,MD,24,510,Baltimore city,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MASSACHUSETTS,MA,25,001,Barnstable County,W,W,W,W,W,W,W,W,W,W,W,W,W
