STATE,STATE_FIPS,COUNTY,COUNTY_FIPS,YEAR,POP,RACE_WHT,RACE_BLK,RACE_NTV,RACE_ASN,RACE_2P,RACE_LTN,INCOME,POVERTY
Texas,48,Hudspeth County,229,1990,2915,0.14065180102915953,0.005145797598627788,0.0030874785591766723,0.18730703259005146,0,0.6638078902229846,7948.225042881647,0.37358490566037733
Texas,48,Hudspeth County,229,2000,3344,0.12200956937799043,0.003289473684210526,0.014055023923444977,0.08941387559808613,0.020933014354066987,0.750299043062201,9476.201555023923,0.35287081339712917
Texas,48,Hudspeth County,229,2010,3476,-0.00863060989643268,0.01380897583429229,0.01093210586881473,0.16599539700805524,0.021576524741081703,0.7963176064441887,13065.52568241855,0.407983563252128
Texas,48,Hudspeth County,229,2019,4415,-0.1044167610419026,0.020158550396375992,4.5300113250283127e-4,0.27882219705549266,0.02695356738391846,0.7780294450736127,14238.711211778029,0.2444812362030905
Texas,48,Hunt County,231,1980,55248,0.8435599478714162,0.12717202432667246,0.002552128583840139,0.0028055314219519257,0,0.023910367796119318,6135.754181146829,0.15329061685490877
Texas,48,Hunt County,231,1990,64343,0.8210527951758544,0.10571468535815862,0.0041340938408218455,0.02440047868454999,0,0.044697946940615144,11844.826616725984,0.14881183656341793
Texas,48,Hunt County,231,2000,76596,0.7526111024074364,0.09454801817327275,0.007298031228784793,0.04544623740143088,0.01698522116037391,0.08311138962870124,17554.40361115463,0.12426236356989921
Texas,48,Hunt County,231,2010,86129,0.6791789060595154,0.08281763401409514,0.009334834956867025,0.06867605568391599,0.023557686725725367,0.13643488255988112,22424.188098423594,0.18802861962654877
Texas,48,Hunt County,231,2019,94162,0.6354474204031351,0.07820564558951594,0.011182855079543764,0.09115141989337525,0.02050721097682717,0.16350544805760286,25925.73606125613,0.16066230383680974
Texas,48,Hutchinson County,233,1980,26304,0.9025623479318735,0.029387165450121655,0.014332420924574209,0.005740571776155718,0,0.04797749391727494,7735.419555961071,0.07227037712895377
Texas,48,Hutchinson County,233,1990,25689,0.7844602748258009,0.026353692241815562,0.01409163455175367,0.0774261357001051,0,0.09766826268052474,11676.822842461754,0.13336447506714935
Texas,48,Hutchinson County,233,2000,23857,0.7230582219055204,0.024060024311522824,0.013539003227564237,0.07025191767615376,0.022131869053108103,0.1469589638261307,17316.989730477428,0.1094856855430272
Texas,48,Hutchinson County,233,2010,22150,0.6572460496613995,0.025191873589164786,0.016433408577878103,0.07575620767494357,0.027358916478555304,0.19801354401805868,23559.88432157148,0.1360949436158603
Texas,48,Hutchinson County,233,2019,21344,0.6596233133433284,0.016116941529235384,0.01649175412293853,0.03307721139430285,0.042119565217391304,0.2325712143928036,24433.818965517243,0.145561850802644
Texas,48,Irion County,235,1980,1386,0.8145743145743146,0,0,0,0,0.18542568542568544,7037.004329004329,0.12193362193362194
Texas,48,Irion County,235,1990,1629,0.7513812154696132,0.0012277470841006752,6.138735420503376e-4,0.010435850214855739,0,0.23634131368938,11658.41620626151,0.13505217925107427
Texas,48,Irion County,235,2000,1771,0.6606437041219649,0.003952569169960474,0.007905138339920948,0.06549971767363072,0.015810276679841896,0.24618859401468096,20607.873517786564,0.08356860530773574
Texas,48,Irion County,235,2010,1599,0.6610381488430269,0.0068792995622263915,0.004377736085053158,0.05190744215134459,0.021263289555972485,0.25453408380237647,26160.744360902256,0.06892230576441102
Texas,48,Irion County,235,2019,1620,0.5055555555555555,0.040740740740740744,0,0.18950617283950616,0.008641975308641974,0.25555555555555554,28487.746913580246,0.14876543209876544
Texas,48,Jack County,237,1980,7408,0.9717872570194385,0.009989200863930885,0.003779697624190065,0.0013498920086393088,0,0.013093952483801297,6649.569114470842,0.1158207343412527
Texas,48,Jack County,237,1990,6981,0.9333906317146541,0.00730554361839278,0.002578427159432746,0.023492336341498353,0,0.03323306116602206,11026.906030654634,0.17905744162727402
Texas,48,Jack County,237,2000,8763,0.8079424854501883,0.05546045874700445,0.006732854045418236,0.041310053634600025,0.009699874472212712,0.07885427365057629,15209.730001141163,0.11286089238845144
Texas,48,Jack County,237,2010,9044,0.7330827067669173,0.03759398496240601,0.006855373728438744,0.07010172490048651,0.01050420168067227,0.14186200796107917,21491.479561316053,0.16218012628780326
Texas,48,Jack County,237,2019,8852,0.7606190691369182,0.050045187528242205,0.0027112516945323093,0.009941256213285133,0.007907817442385901,0.16877541798463624,24956.721192950747,0.16309291747888238
Texas,48,Jackson County,239,1980,13352,0.707759137207909,0.10417914919113241,0.0011234272019173157,1.4979029358897544e-4,0,0.18678849610545237,6227.139005392451,0.1525614140203715
Texas,48,Jackson County,239,1990,13039,0.620062888258302,0.09341207147787407,0.0031444129151008515,0.0707876370887338,0,0.21259299025998926,10230.754045555641,0.2080681033821612
Texas,48,Jackson County,239,2000,14391,0.5181710791466889,0.07636717392814954,0.0038913209644916963,0.1309151553053992,0.02390382878187756,0.2467514418733931,16695.69487874366,0.14411785143492462
Texas,48,Jackson County,239,2010,14075,0.5234103019538189,0.07019538188277087,0.0040497335701598575,0.09150976909413855,0.02103019538188277,0.28980461811722913,23678.298756660744,0.12632326820603906
Texas,48,Jackson County,239,2019,14816,0.5404292656587473,0.0681695464362851,0,0.04299406047516199,0.01734611231101512,0.3310610151187905,27051.308382829375,0.133986477162964
Texas,48,Jasper County,241,1980,30781,0.7923394301679607,0.19304116175562847,0.0019817419836912382,2.2741301452194535e-4,0,0.012410253078197589,5913.881160456125,0.15574542737402944
Texas,48,Jasper County,241,1990,31102,0.7766703105909588,0.18866953893640281,0.002443572760594174,0.013118127451610829,0,0.019098450260433414,9658.946016333355,0.1994727027200823
Texas,48,Jasper County,241,2000,35604,0.7434838782159308,0.17809796652061566,0.004156836310526907,0.023845635321873948,0.011543646781260533,0.03887203684979216,15635.900123581621,0.17517694641051568
Texas,48,Jasper County,241,2010,35710,0.7202744329319518,0.16687202464295717,0.005516661999439933,0.03584430131615794,0.015009801176141136,0.056482777933352005,20582.103856818754,0.16802509593031398
Texas,48,Jasper County,241,2019,35506,0.7060496817439306,0.16585929138737115,0.0026192756153889485,0.044443192699825385,0.013828648679096492,0.06719990987438743,25268.51999662029,0.18494005631513252
Texas,48,Jeff Davis County,243,1980,1647,0.5258044930176078,0,0.0012143290831815423,0.0012143290831815423,0,0.47176684881602915,5608.653916211293,0.24893746205221615
Texas,48,Jeff Davis County,243,1990,1946,0.4630010277492292,0.0035971223021582736,0.006166495375128468,0.131551901336074,0,0.39568345323741005,9965.844809866394,0.19218910585817062
Texas,48,Jeff Davis County,243,2000,2207,0.5505210693248754,0.009062075215224286,0.0031717263253285004,0.052560036248300863,0.029904848210240146,0.3547802446760308,18846.263253285004,0.14544630720434978
Texas,48,Jeff Davis County,243,2010,2342,0.5649017933390265,0.00982066609735269,0.0064047822374039285,0.061058923996584115,0.02049530315969257,0.3373185311699402,25340.042690815004,0.08322552824493316
Texas,48,Jeff Davis County,243,2019,2241,0.5684962070504239,0.010263275323516287,0,0.015171798304328426,0.007585899152164213,0.39848282016956715,26531.43819723338,0.03904455672944419
Texas,48,Jefferson County,245,1980,250938,0.6633232113111606,0.2822529867935506,0.0017853015485896915,0.011676190931624544,0,0.04096230941507464,7601.411372530267,0.13206847906654234
Texas,48,Jefferson County,245,1990,239397,0.5916699039670505,0.31083096279401995,0.0024143995121075033,0.04233135753580872,0,0.05275337619101325,12348.418927555484,0.191180340605772
Texas,48,Jefferson County,245,2000,252051,0.4671197495744909,0.3374158404449893,0.003400105534197444,0.07176325426203427,0.015020769606151136,0.10528028057813696,17571.004042832603,0.16322887034766773
Texas,48,Jefferson County,245,2010,252273,0.3515041245000456,0.3380900849476559,0.005474228316149568,0.11521645201825007,0.01966520396554526,0.1700499062523536,23478.963259109714,0.1804098924201298
Texas,48,Jefferson County,245,2019,254340,0.3759652433750098,0.3368797672407014,0.00377840685696312,0.05920421483054179,0.0169379570653456,0.20723441063143824,27093.551895101045,0.17656517017568968
Texas,48,Jim Hogg County,247,1980,5168,0.09462074303405572,0,0,0,0,0.9053792569659442,4764.810371517028,0.22387770897832818
Texas,48,Jim Hogg County,247,1990,5109,-0.055588177725582305,7.829320806420043e-4,0.002348796241926013,0.14053630847523976,0,0.9119201409277745,6852.021139166177,0.3519279702485809
Texas,48,Jim Hogg County,247,2000,5281,-0.09543647036546109,0.0045445938269267185,0.007763681120999811,0.16038629047528877,0.022912327210755538,0.8998295777314902,12151.47509941299,0.2546866123840182
Texas,48,Jim Hogg County,247,2010,5300,-0.0469811320754717,0.004150943396226415,0.0037735849056603774,0.09792452830188679,0.015283018867924528,0.9258490566037736,17727.387483355527,0.118508655126498
Texas,48,Jim Hogg County,247,2019,5231,0.0739820302045498,0.003249856623972472,0,0.0022940164404511567,0.0070732173580577325,0.9134008793729689,16528.364557445995,0.3061383061383061
Texas,48,Jim Wells County,249,1980,36498,0.31905857855224945,0.006219518877746726,0.0016987232177105595,0.0012329442709189545,0,0.6717902350813744,5599.921365554277,0.2080113978848156
Texas,48,Jim Wells County,249,1990,37679,0.03458159717614586,0.00578571618142732,0.002176278563656148,0.2355423445420526,0,0.721914063536718,8079.9068181215,0.2988932827304334
Texas,48,Jim Wells County,249,2000,39326,0.021919340894064995,0.006026547322382139,0.006179118140670295,0.18450897624980928,0.024309617047246098,0.7570564003458272,12252.169302751361,0.23780704877180492
Texas,48,Jim Wells County,249,2010,40838,0.08242323326313727,0.005803418384837652,0.006611489299182135,0.09922131348254078,0.016136931289485283,0.7898036142808169,19818.196201297116,0.20744136148632175
Texas,48,Jim Wells County,249,2019,40972,0.14915063946109539,0.006614273162159523,0.004905789319535292,0.027945914282924925,0.008566826125158645,0.8028165576491262,21509.878966123208,0.23201443293873414
Texas,48,Johnson County,251,1980,67649,0.9267690579313811,0.026622714304719953,0.0029268725332229598,0.0027199219500657805,0,0.04096143328061021,6979.821564250765,0.07997161820573845
Texas,48,Johnson County,251,1990,97165,0.8528894149127773,0.02594555652755622,0.004312252354242783,0.040107034425976434,0,0.07674574177944733,12052.026810065352,0.11369320228477332
