TYPE,ID,SULFUR_N,SULFUR_MEAN,SULFUR_MEDIAN,SULFUR_SD,SULFUR_MIN,SULFUR_MAX,SULFUR_LOW
MSHA,1519332,2,1.53,1.53,0.05656854249492385,1.49,1.57,FALSE
MSHA,1519342,62,1.1335483870967742,1.15,0.16501462204653009,0.72,1.48,FALSE
MSHA,1519344,97,3.27,3.3,0.32631464876710636,2.04,4.72,FALSE
MSHA,1519345,53,2.7149056603773585,2.71,0.2924868349536268,1.03,3.5,FALSE
MSHA,1519353,3,1.6366666666666667,1.5,0.24542480178933285,1.49,1.92,FALSE
MSHA,1519356,3,3.06,2.91,0.30413812651491107,2.86,3.41,FALSE
MSHA,1519358,250,2.94976,2.92,0.1538238913765769,2.47,3.95,FALSE
MSHA,1519360,12,0.63,0.63,0,0.63,0.63,TRUE
MSHA,1519363,12,1.6,1.6,0,1.6,1.6,FALSE
MSHA,1519365,126,3.129920634920635,3.17,0.37736241684989463,2.34,4.19,FALSE
MSHA,1519368,9,1.6711111111111112,1.68,0.43558708786086753,0.99,2.21,FALSE
MSHA,1519372,29,1.0362068965517242,0.98,0.13865202572069837,0.78,1.33,TRUE
MSHA,1519374,1872,2.9624626068376068,2.98,0.14345054361012702,0.8,3.81,FALSE
MSHA,1519377,1,0.86,0.86,NA,0.86,0.86,TRUE
MSHA,1519383,30,1.017,1,0.25143930507764894,0.49,1.67,TRUE
MSHA,1519390,1,1.37,1.37,NA,1.37,1.37,FALSE
MSHA,1519404,28,2.5039285714285713,2.425,0.3312192882837848,2.12,3.35,FALSE
MSHA,1519407,52,3.148653846153846,3.1900000000000004,0.27238258017890393,2.62,3.65,FALSE
MSHA,1519424,240,2.5975,2.58,0.1999612933256131,2.26,4.59,FALSE
MSHA,1519426,28,1.6442857142857144,1.61,0.07320334800219286,1.52,1.72,FALSE
MSHA,1519427,16,1.015625,1,0.09939609314924469,0.91,1.18,TRUE
MSHA,1519432,2,1.23,1.23,0,1.23,1.23,FALSE
MSHA,1519434,4,2.845,2.8200000000000003,0.13228756555322949,2.72,3.02,FALSE
MSHA,1519437,32,1.3090625,1.125,0.6596888776708159,0.71,2.92,FALSE
MSHA,1519438,1,2.88,2.88,NA,2.88,2.88,FALSE
MSHA,1519441,32,1.0696875,1,0.2637995863798758,0.59,1.79,TRUE
MSHA,1519449,1,2.78,2.78,NA,2.78,2.78,FALSE
MSHA,1519454,22,0.9218181818181819,0.93,0.06130612986024775,0.82,1.09,TRUE
MSHA,1519459,22,1.2377272727272728,0.9,0.5488596994651455,0.8,2.97,TRUE
MSHA,1519460,1,1.43,1.43,NA,1.43,1.43,FALSE
MSHA,1519466,25,3.2704,3.32,0.27424867061361174,2.47,3.91,FALSE
MSHA,1519475,2,0.9099999999999999,0.9099999999999999,0.09899494936611666,0.84,0.98,TRUE
MSHA,1519503,2,0.94,0.94,0.15556349186104051,0.83,1.05,TRUE
MSHA,1519511,38,2.9905263157894737,2.95,0.2137433086472303,2.51,3.57,FALSE
MSHA,1519515,1,0.87,0.87,NA,0.87,0.87,TRUE
MSHA,1519532,1,0.97,0.97,NA,0.97,0.97,TRUE
MSHA,1519535,329,2.7775075987841946,2.75,0.24408712603191807,2.11,5.63,FALSE
MSHA,1519538,39,2.913846153846154,3.03,0.9223671360164774,1.01,5.64,FALSE
MSHA,1519552,15,1.2286666666666666,1.23,0.18165377848559947,0.84,1.57,FALSE
MSHA,1519599,13,4.32,4.35,0.36981977592695964,3.52,4.84,FALSE
MSHA,1519604,1,0.7,0.7,NA,0.7,0.7,TRUE
MSHA,1519605,5,1.268,0.76,0.8840079185165708,0.7,2.75,TRUE
MSHA,1519609,32,0.7928125,0.77,0.08696437442628355,0.56,0.99,TRUE
MSHA,1519621,1,1.26,1.26,NA,1.26,1.26,FALSE
MSHA,1519626,1,0.76,0.76,NA,0.76,0.76,TRUE
MSHA,1519646,10,1.043,1.06,0.1269339285700329,0.86,1.19,FALSE
MSHA,1519647,2,3.795,3.795,0.134350288425444,3.7,3.89,FALSE
MSHA,1519657,151,2.4934437086092713,2.36,0.43699129870454845,1.02,3.36,FALSE
MSHA,1519668,12,3.6675,3.73,0.30385777175274853,3.11,4.06,FALSE
MSHA,1519669,13,2.8000000000000003,2.76,0.10336021155809105,2.67,2.95,FALSE
MSHA,1519671,2,1.04,1.04,0.22627416997969516,0.88,1.2,FALSE
MSHA,1519674,1,1.98,1.98,NA,1.98,1.98,FALSE
MSHA,1519678,13,0.9807692307692307,0.97,0.08750824137012643,0.88,1.18,TRUE
MSHA,1519693,12,3.0525,3.355,1.1236962142047922,0.67,3.95,FALSE
MSHA,1519744,144,2.7516666666666665,2.74,0.2428674852354991,2.33,4.8,FALSE
MSHA,1519797,14,2.5942857142857143,2.71,0.36586492433293305,2.04,3.07,FALSE
MSHA,1519806,23,2.8756521739130436,2.88,0.09485999669160873,2.7,3.16,FALSE
MSHA,1519811,2,0.85,0.85,0.22627416997969527,0.69,1.01,TRUE
MSHA,1519820,7,1.24,1.08,0.2538372181799457,1.01,1.6,FALSE
MSHA,1519827,5,0.882,0.8,0.16192590898309012,0.8,1.17,TRUE
MSHA,1519859,1,1.12,1.12,NA,1.12,1.12,FALSE
MSHA,1601031,170,0.66,0.65,0.13716918245504206,0.4,1.09,TRUE
MSHA,1601164,97,0.6251546391752577,0.63,0.061034713518583285,0.48,0.89,TRUE
MSHA,1601499,14,0.6114285714285714,0.63,0.06347102826149445,0.5,0.69,TRUE
MSHA,1800132,87,1.549655172413793,1.46,0.6999342963780179,0.7,2.96,FALSE
MSHA,1800133,86,1.8105813953488372,1.82,0.08528643297614692,1.53,2,FALSE
MSHA,1800170,72,1.6394444444444445,1.64,0.18021027537014306,1.26,2.03,FALSE
MSHA,1800372,29,1.9589655172413794,1.92,0.17167961913289462,1.65,2.36,FALSE
MSHA,1800391,84,1.8947619047619049,1.83,0.42441022491593633,1.19,3.22,FALSE
MSHA,1800405,12,2.138333333333333,2.075,0.1772944819596293,1.98,2.59,FALSE
MSHA,1800621,34,2.1364705882352943,1.855,0.49719139874652124,1.48,3.13,FALSE
MSHA,1800630,4,1.835,1.79,0.16114175953695764,1.7,2.06,FALSE
MSHA,1800671,156,1.6977564102564102,1.66,0.3284736425188652,1.13,3.16,FALSE
MSHA,1800709,26,1.7876923076923077,1.81,0.15002153691540937,1.47,2.03,FALSE
MSHA,1800713,162,1.9212962962962963,1.89,0.2884573208447487,1.3,3.55,FALSE
MSHA,1800730,57,0.8452631578947368,0.86,0.08803621947726757,0.7,0.98,TRUE
MSHA,1800744,108,2.1016666666666666,2.075,0.33941538524103143,1.46,2.97,FALSE
MSHA,1800748,146,1.8533561643835617,1.81,0.6417769269740234,0.84,5.59,FALSE
MSHA,1800749,38,1.453684210526316,1.455,0.6352119078323883,0.61,3.33,FALSE
MSHA,1800760,139,1.9363309352517986,1.96,0.21486141096095748,1.44,2.56,FALSE
MSHA,1800761,33,0.6727272727272727,0.66,0.10450097868180253,0.47,0.98,TRUE
MSHA,1800769,54,1.775,1.79,0.16659463852389025,0.87,2.03,FALSE
MSHA,1800776,37,1.6997297297297298,1.78,0.17260240899706933,1.16,1.86,FALSE
MSHA,1800777,51,1.8450980392156862,1.8,0.22968127959430745,1.46,2.74,FALSE
MSHA,1800780,20,1.707,1.8,0.1857587569657853,1.35,1.9,FALSE
MSHA,1800781,24,0.87,0.87,0.010215078369104992,0.86,0.88,TRUE
MSHA,1800794,1,1.56,1.56,NA,1.56,1.56,FALSE
MSHA,2200690,139,0.47129496402877696,0.47,0.058183051125077094,0.29,0.65,TRUE
MSHA,2302155,12,2.11,2.11,0,2.11,2.11,FALSE
MSHA,2302262,140,3.336357142857143,3.3049999999999997,0.3390978524640562,2.65,4.68,FALSE
MSHA,2302277,74,3.732162162162162,3.72,0.26663437728737344,2.92,4.3,FALSE
MSHA,2302412,4,3.4625,3.49,0.09464847243000454,3.33,3.54,FALSE
MSHA,2400106,130,0.5335384615384615,0.53,0.038636881172813053,0.49,0.66,TRUE
MSHA,2400839,293,0.3847098976109215,0.39,0.041500137864803534,0.27,0.51,TRUE
MSHA,2400910,805,0.6081242236024845,0.61,0.08797803022933917,0.22,0.84,TRUE
MSHA,2401457,1458,0.3394101508916324,0.33,0.05545650524292853,0.17,0.77,TRUE
MSHA,2401747,327,0.6679816513761467,0.66,0.054425834320076076,0.55,0.96,TRUE
MSHA,2401950,175,0.47354285714285715,0.43,0.30914977425646667,0.24,4.41,TRUE
MSHA,2900096,43,0.4602325581395349,0.43,0.1204453713770573,0.37,1.01,TRUE
MSHA,2900097,141,0.755531914893617,0.74,0.086811993344525,0.11,1,TRUE
MSHA,2901168,44,0.675,0.66,0.06322716519506984,0.61,1.02,TRUE
MSHA,2901879,214,0.9511682242990654,0.93,0.18286976745600744,0.66,2.35,TRUE
MSHA,2902170,100,0.7776,0.76,0.08767617185479253,0.58,1.08,TRUE
MSHA,2902257,511,0.9683561643835616,0.99,0.12548431022995127,0.17,1.23,TRUE
MSHA,3200043,273,0.7366666666666667,0.72,0.09237604307034013,0.55,1.26,TRUE
MSHA,3200218,280,0.8423214285714286,0.805,0.15045916665159717,0.62,1.41,TRUE
MSHA,3200491,206,0.6335922330097088,0.64,0.055854416493403745,0.52,0.92,TRUE
MSHA,3200595,388,0.8655154639175258,0.87,0.13920591432103296,0.61,1.19,TRUE
MSHA,3201028,42,0.8033333333333333,0.795,0.08657906767429178,0.66,1.12,TRUE
MSHA,3300789,133,3.2950375939849623,3.5,0.9483028093773398,1.29,4.99,FALSE
MSHA,3300965,295,3.7051525423728813,3.66,0.4051151181634707,2.23,5.12,FALSE
MSHA,3300968,317,2.5194637223974765,2.57,0.3561005797364441,1.18,3.79,FALSE
MSHA,3301070,185,3.944108108108108,4.15,0.600505574304567,1.64,4.72,FALSE
MSHA,3301159,1630,4.180539877300614,4.31,0.4942492647767279,1.33,5.62,FALSE
